g1f3 d7d5 g2g3 b8c6 d2d4 c8g4 f1g2 d8d7 e1g1 e8c8 c2c3 g4h3 b2b4 h3g2 g1g2 f7f6 b4b5 c6a5 a2a4 d7f5 : .......34 moves, avg. D01, 001 counts/move
g2g3 d7d5 f1g2 c7c5 d2d3 b8c6 g1f3 e7e5 e1g1 f8e7 e2e4 d5d4 b1a3 d8c7 f3e1 c8e6 f2f4 e8c8 f4f5 e6d7 : .......31 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 b1c3 f5e4 c3e4 d7d5 e4g3 c8g4 h2h3 g4f3 d1f3 d8d6 e1g1 e8c8 g3f5 d6c5 : .......43 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 g2g3 c7c5 f1g2 b8c6 g1h3 b7b6 e1g1 c8b7 f2f4 d5e4 d3e4 d8c7 c2c3 e8c8 : .......30 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 c7c6 c4d5 e6d5 g1f3 f8e7 d1c2 d7f8 f1d3 f8g6 e1c1 e8g8 : .......46 moves, avg. D01, 001 counts/move
e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 f1e2 b8c6 c1e3 e7e5 d4e5 c6e5 f2f4 e5c6 d1d2 g8f6 h2h3 e8g8 e1c1 f8e8 : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 g7f6 f1e2 c8f5 g1f3 d8c7 e1g1 e7e6 c2c4 b8d7 d4d5 e8c8 : .......34 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f2f4 g7g6 c1e3 f8g7 d1d2 e8g8 e1c1 c8d7 d4f3 d8a5 : .......42 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 c1g5 f8e7 d1d2 e8g8 e1c1 b8c6 f1c4 d8a5 h2h4 a5b4 : .......47 moves, avg. D01, 001 counts/move
e2e4 g7g6 d2d4 f8g7 c2c4 d7d6 b1c3 b8d7 c1e3 e7e5 d4d5 g8h6 f2f3 f7f5 f1d3 d7f6 d1d2 h6f7 e1c1 e8g8 : .......37 moves, avg. D01, 001 counts/move
b2b3 g8f6 c1b2 g7g6 e2e4 d7d6 g2g3 f8g7 f1g2 e8g8 d2d4 e7e5 d4e5 f6g4 b1c3 g4e5 d1d2 b8c6 e1c1 a7a5 : .......34 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 b8c6 c1e3 a7a6 d1d2 a8b8 e1c1 c8d7 h2h4 e8g8 g1e2 h7h5 : .......31 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4e7 c3e4 g8f6 d1d3 b8d7 e2c3 e8g8 c1f4 c7c5 e1c1 c5d4 : .......45 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 d7d6 c1g5 h7h6 g5f6 d8f6 e1c1 b4c3 c2c3 e8g8 g2g3 a7a5 : .......35 moves, avg. D01, 001 counts/move
c2c4 e7e5 b1c3 d7d6 d2d4 b8d7 g1f3 g8f6 c1g5 f8e7 e2e3 e8g8 d1c2 c7c6 e1c1 e5e4 g5f6 e4f3 f6e7 f3g2 : .......42 moves, avg. D01, 001 counts/move
e2e4 e7e6 d1e2 f8e7 b2b3 d7d6 c1b2 g8f6 b1c3 c7c5 e1c1 b8c6 f2f4 e8g8 g2g4 c6d4 e2g2 d6d5 e4e5 f6d7 : .......33 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 c1g5 e8g8 d1d2 c7c6 f1d3 b8d7 e1c1 e7e5 d4e5 d6e5 h2h4 h7h5 : .......38 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 f8e7 d1d2 b8c6 e1c1 a7a6 f2f4 e8g8 d4b3 h7h6 : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 e7e6 b1c3 d7d6 d2d4 c5d4 d1d4 a7a6 c1g5 b8c6 d4a4 f8e7 g5e7 g8e7 e1c1 e8g8 e4e5 d6d5 : .......44 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4b3 c5b6 a2a4 d8f6 d1e2 a7a5 b1c3 g8e7 c1e3 c6b4 e1c1 e8g8 : .......42 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 d8b6 d4b3 e7e6 d1d2 f8e7 e1c1 e8g8 f1e2 a7a6 : .......44 moves, avg. D01, 001 counts/move
d2d4 g7g6 c2c4 f8g7 b1c3 g8f6 e2e4 e8g8 c1e3 d7d6 f2f3 a7a6 d1d2 c7c6 e1c1 b7b5 e3h6 b8d7 h6g7 g8g7 : .......34 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1d2 e8g8 e1c1 c7c5 f2f4 c5d4 c3b5 b8c6 : .......34 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 e7e5 d4d5 f6h5 g1e2 f7f5 c1e3 e8g8 d1d2 b8d7 e1c1 h5f6 : .......35 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 g7g6 f2f3 f8g7 d1d2 e8g8 e1c1 f8e8 h2h4 h7h5 : .......38 moves, avg. D01, 001 counts/move
e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 g1f3 d7d5 h2h3 g8h6 c1f4 f7f6 e4e5 e8g8 d1d2 h6f7 e1c1 f6e5 f3e5 b8d7 : .......40 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1g5 b8d7 d1c2 e8g8 e1c1 f8e8 c1b1 d7f8 g5f6 e7f6 e2e4 d5e4 : .......33 moves, avg. D07, 017 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 c1f4 e8g8 d1d2 b8c6 d4d5 e7e5 d5e6 f7e6 e1c1 e6e5 f1c4 g8h8 : .......48 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g7g6 b1c3 f8g7 c1g5 a7a6 f1c4 b8c6 g1f3 h7h6 g5e3 e7e6 d1e2 g8f6 e1c1 e8g8 e4e5 f6d7 : .......44 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 a7a6 c1e3 b8c6 d1d2 a8b8 e1c1 e8g8 g1e2 b7b5 g2g4 f8e8 : .......33 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 c8d7 f2f4 f8e7 f1e2 e8g8 : .......41 moves, avg. D01, 001 counts/move

Experience Rate : 0%
