h2h4 g8f6 : ......184 moves, avg. D23, 096 counts/move
h2h4 g8h6 : ......302 moves, avg. D24, 123 counts/move
h2h4 d7d5 : ....4 914 moves, avg. D14, 108 counts/move
h2h4 d7d6 : ......120 moves, avg. D30, 117 counts/move
h2h4 e7e5 : ...25 058 moves, avg. D07, 120 counts/move
h2h4 e7e6 : ......221 moves, avg. D27, 102 counts/move
h2h4 f7f5 : ......214 moves, avg. D21, 095 counts/move
h2h4 f7f6 : ......199 moves, avg. D20, 106 counts/move
h2h4 g7g5 : ......495 moves, avg. D23, 113 counts/move
h2h4 g7g6 : ......281 moves, avg. D25, 111 counts/move
h2h4 h7h5 : ......222 moves, avg. D27, 107 counts/move
h2h4 h7h6 : ......178 moves, avg. D26, 103 counts/move

Experience Rate : 36%
