g1f3 c7c5 e2e4 d7d6 c2c3 g8f6 f1d3 c8g4 d3c2 b8c6                               : .......26 moves, avg. D01, 001 counts/move
d2d4 d7d5 g1f3 g8f6 c1f4 c8f5 e2e3 e7e6 f1d3 f5g6                               : .......42 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1e2 g8f6 b1c3 d7d6 g2g3 g7g6 f1g2 f8g7                               : .......27 moves, avg. D01, 001 counts/move
d2d4 d7d5 g1f3 e7e6 c2c4 g8f6 b1c3 f8b4 c1g5 h7h6                               : ....2 265 moves, avg. D75, 116 counts/move
e2e4 c7c5 g1e2 d7d6 b1c3 g8f6 d2d3 b8c6 g2g3 g7g6                               : .......29 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 e7e6 e2e3 g8f6 d1c2 b7b6                               : .......37 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 f1b5 b8d7 d2d4 c5d4 d1d4 a7a6                               : .......55 moves, avg. D01, 001 counts/move
g1f3 c7c5 c2c4 b8c6 b1c3 g7g6 e2e3 g8f6 d2d4 c5d4                               : .......56 moves, avg. D09, 026 counts/move
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 g1f3 f8b4 c1d2 b4e7                               : ....1 392 moves, avg. D54, 114 counts/move
g1f3 c7c5 c2c4 b8c6 e2e3 g8f6 b1c3 e7e5 d2d4 e5e4                               : ......126 moves, avg. D41, 116 counts/move
g1f3 d7d5 e2e3 c7c5 b2b3 g8f6 c1b2 e7e6 d2d4 b8c6                               : .......34 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 d7d6 c2c3 c5b6                               : ......106 moves, avg. D21, 083 counts/move
e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 g1f3 d7d6 d2d4 c5d4                               : .......39 moves, avg. D01, 001 counts/move
d2d4 d7d5 c1f4 g8f6 b1d2 e7e6 g1f3 f8d6 e2e3 b7b6                               : .......36 moves, avg. D01, 001 counts/move
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8b4 c3d5 b4c5                               : .......31 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 c2c3 a7a6                               : ......131 moves, avg. D23, 082 counts/move
