d2d4 d7d5 c2c4 d5c4 e2e4 e7e5                                                                                                                              : .......43 moves, avg. D03, 009 counts/move
e2e4 g7g6 d2d4 f8g7 c2c4 d7d6 b1c3 e7e5                                                                                                                    : .......86 moves, avg. D19, 063 counts/move
e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c3 g8f6                                                                                                                    : .......37 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5                                                                                                                    : .......33 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d5 c1f4 e8g8                                                                                                          : .......42 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d5 e2e3 c7c6                                                                                                          : .......35 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 f6d7                                                                  : .......35 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 c2c3 d7d6 c1g5 h7h6 g5h4 a7a5 e1g1 c5a7 b1d2 g7g5 h4g3 f6d7                                                        : .......34 moves, avg. D01, 001 counts/move
g1f3 b8c6 d2d4 d7d5                                                                                                                                        : .......35 moves, avg. D06, 021 counts/move
b1c3 d7d5 d2d4 g8f6                                                                                                                                        : ......289 moves, avg. D29, 098 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 e8g8 c2c3 d7d6 c1g5 h7h6 g5h4 a7a5 b1d2 g7g5 h4g3 c5a7                                                        : .......37 moves, avg. D06, 009 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 e8g8 c2c3 d7d6 c1g5 h7h6 g5h4 a7a6 a2a4 g7g5 h4g3 c5a7 b1d2 f6h7                                              : ......143 moves, avg. D36, 092 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8c7                                                                                                : .......33 moves, avg. D01, 001 counts/move
