f2f4 e7e6 : ....1 739 moves, avg. D40, 017 counts/move
f2f4 f7f5 : .......19 moves, avg. D01, 001 counts/move
f2f4 f7f6 : .......20 moves, avg. D01, 001 counts/move
f2f4 g7g5 : .......21 moves, avg. D01, 001 counts/move
f2f4 g7g6 : ......149 moves, avg. D41, 016 counts/move
f2f4 h7h5 : .......20 moves, avg. D01, 001 counts/move
f2f4 h7h6 : .......20 moves, avg. D01, 001 counts/move
g2g3 a7a5 : .......33 moves, avg. D04, 002 counts/move
g2g3 a7a6 : ......125 moves, avg. D27, 039 counts/move
g2g3 b7b5 : .......21 moves, avg. D01, 001 counts/move
g2g3 b7b6 : ......205 moves, avg. D25, 014 counts/move
g2g3 c7c5 : ..885 690 moves, avg. D50, 020 counts/move
g2g3 c7c6 : ....4 820 moves, avg. D37, 019 counts/move
g2g3 b8a6 : .......21 moves, avg. D01, 001 counts/move
g2g3 b8c6 : ......203 moves, avg. D32, 007 counts/move
g2g3 g8f6 : 1 000 000 moves, avg. D35, 036 counts/move
g2g3 g8h6 : .......21 moves, avg. D01, 001 counts/move
g2g3 d7d5 : 1 000 000 moves, avg. D41, 033 counts/move
g2g3 d7d6 : ....6 089 moves, avg. D35, 022 counts/move
g2g3 e7e5 : 1 000 000 moves, avg. D40, 029 counts/move
g2g3 e7e6 : 1 000 000 moves, avg. D43, 054 counts/move
g2g3 f7f5 : ...89 259 moves, avg. D38, 018 counts/move
g2g3 f7f6 : ......166 moves, avg. D32, 015 counts/move
g2g3 g7g5 : .......21 moves, avg. D01, 001 counts/move
g2g3 g7g6 : ...85 397 moves, avg. D54, 018 counts/move
g2g3 h7h5 : .......64 moves, avg. D08, 004 counts/move
g2g3 h7h6 : .......21 moves, avg. D01, 001 counts/move
g2g4 a7a5 : .......21 moves, avg. D01, 001 counts/move
g2g4 a7a6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b7b5 : .......21 moves, avg. D01, 001 counts/move
g2g4 b7b6 : .......21 moves, avg. D01, 001 counts/move
g2g4 c7c5 : .......21 moves, avg. D01, 001 counts/move
g2g4 c7c6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b8a6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b8c6 : .......21 moves, avg. D01, 001 counts/move
g2g4 g8f6 : .......21 moves, avg. D01, 001 counts/move
g2g4 g8h6 : .......21 moves, avg. D01, 001 counts/move
g2g4 d7d5 : ....1 160 moves, avg. D33, 012 counts/move
g2g4 d7d6 : .......21 moves, avg. D01, 001 counts/move
g2g4 e7e5 : .......21 moves, avg. D01, 001 counts/move
g2g4 e7e6 : .......21 moves, avg. D01, 001 counts/move
g2g4 f7f5 : .......22 moves, avg. D01, 001 counts/move
g2g4 f7f6 : .......21 moves, avg. D01, 001 counts/move
g2g4 g7g5 : .......20 moves, avg. D01, 001 counts/move
g2g4 g7g6 : .......21 moves, avg. D01, 001 counts/move
g2g4 h7h5 : .......22 moves, avg. D01, 001 counts/move
g2g4 h7h6 : .......21 moves, avg. D01, 001 counts/move
h2h3 a7a5 : .......19 moves, avg. D01, 001 counts/move
h2h3 a7a6 : .......19 moves, avg. D01, 001 counts/move
h2h3 b7b5 : .......19 moves, avg. D01, 001 counts/move
h2h3 b7b6 : .......19 moves, avg. D01, 001 counts/move
h2h3 c7c5 : ......460 moves, avg. D29, 006 counts/move
h2h3 c7c6 : .......20 moves, avg. D03, 002 counts/move
h2h3 b8a6 : .......19 moves, avg. D01, 001 counts/move
h2h3 b8c6 : .......19 moves, avg. D01, 001 counts/move
h2h3 g8f6 : ....1 833 moves, avg. D44, 016 counts/move
h2h3 g8h6 : .......19 moves, avg. D01, 001 counts/move
h2h3 d7d5 : ......256 moves, avg. D41, 013 counts/move
h2h3 d7d6 : .......19 moves, avg. D01, 001 counts/move
h2h3 e7e5 : .......44 moves, avg. D10, 010 counts/move
h2h3 e7e6 : .......20 moves, avg. D02, 002 counts/move
h2h3 f7f5 : .......19 moves, avg. D01, 001 counts/move
h2h3 f7f6 : .......20 moves, avg. D03, 007 counts/move
h2h3 g7g5 : .......19 moves, avg. D01, 001 counts/move
h2h3 g7g6 : .......19 moves, avg. D01, 001 counts/move
h2h3 h7h5 : .......19 moves, avg. D01, 001 counts/move
h2h3 h7h6 : .......19 moves, avg. D01, 001 counts/move
h2h4 a7a5 : .......21 moves, avg. D01, 001 counts/move
h2h4 a7a6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b7b5 : .......21 moves, avg. D01, 001 counts/move
h2h4 b7b6 : .......21 moves, avg. D01, 001 counts/move
