e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1d3 g7g6 f2f3 e7e5 d4b3 c8e6 c1e3 b8d7 d1d2 d8c7 : .......46 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d3 b8c6 a2a3 f8e7 e1c1 e8g8 : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d3 b8c6 a2a3 f8e7 e1c1 f6g4 : .......39 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d3 b8d7 h2h3 f8e7 e1c1 h7h6 : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d2 b8d7 f2f3 h7h5 e1c1 d8c7 : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 f2f3 b7b5 d1d2 b8d7 e1c1 c8b7 g2g4 h7h6 : .......39 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 d8b6 c3a4 b6a5 c2c3 b7b6 e3d2 c5c4 : ......104 moves, avg. D20, 011 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3 a7a6 c3e2 d8b6 d1c1 f8e7 c2c3 f7f6 : ......591 moves, avg. D35, 078 counts/move
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 d7d6 e5g4 b8c6 b1c3 f8e7 d2d4 e7h4 g4f2 d8g5 f1b5 c8d7 : .......38 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 b1c3 e7e5 g1f3 b8d7 f1c4 h7h6 a2a4 c7c6 c1e3 f8e7 d1e2 e8g8 e1c1 e5d4 f3d4 f8e8 : .......49 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 b1c3 e4c3 d2c3 f8e7 c1f4 e8g8 d1d2 b8d7 e1c1 d7c5 f3d4 d6d5 : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8d6 e1g1 e8g8 c2c4 c7c6 f1e1 c8f5 b1c3 e4c3 : ......607 moves, avg. D28, 011 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 b1c3 f8b4 h2h3 e8g8 e1g1 b4c3 d2c3 d7d6 b5d3 a7a5 f1e1 c6e7 f3h4 f6d7 : .......34 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 c1g5 h7h6 g5h4 a7a5 a2a4 c8d7 e1g1 d8e7 f1e1 c5a7 : .......34 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f8e8 g1h1 b7b5 c4a5 d8f6 : .......35 moves, avg. D02, 002 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f8e8 c1d2 b7b6 b2b4 c5f8 : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 b1d2 e8g8 d2c4 f8e8 a2a4 f7f6 f3h4 c5f8 : .......86 moves, avg. D31, 042 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c2c3 e8g8 e1g1 d7d6 h2h3 a7a6 b5a4 h7h6 b1d2 b7b5 a4b3 c5b6 : ....2 948 moves, avg. D46, 045 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 h2h3 f6d7 c1e3 c5e3 f2e3 b7b6 d1d2 d8e7 d2c3 c8b7 : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 c1e3 c5e3 f2e3 d8e7 b2b3 f7f6 d3d4 e8g8 : .......28 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c2c3 e8g8 e1g1 d7d6 b1d2 a7a6 b5a4 b7b5 a4c2 h7h6 h2h3 c5a7 : .......36 moves, avg. D09, 007 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 b5c6 d7c6 e1g1 f6d7 c1e3 c5e3 f2e3 d8e7 b2b3 h7h5 d3d4 g7g5 : .......28 moves, avg. D01, 001 counts/move
