f2f3 h7h5 : .......19 moves, avg. D01, 001 counts/move
f2f3 h7h6 : .......19 moves, avg. D01, 001 counts/move
f2f4 a7a5 : .......20 moves, avg. D01, 001 counts/move
f2f4 a7a6 : .......20 moves, avg. D01, 001 counts/move
f2f4 b7b5 : .......20 moves, avg. D01, 001 counts/move
f2f4 b7b6 : .......20 moves, avg. D01, 001 counts/move
f2f4 c7c5 : .......20 moves, avg. D01, 001 counts/move
f2f4 c7c6 : .......20 moves, avg. D01, 001 counts/move
f2f4 b8a6 : .......20 moves, avg. D01, 001 counts/move
f2f4 b8c6 : .......20 moves, avg. D01, 001 counts/move
f2f4 g8f6 : .......20 moves, avg. D01, 001 counts/move
f2f4 g8h6 : .......20 moves, avg. D01, 001 counts/move
f2f4 d7d5 : .......20 moves, avg. D01, 001 counts/move
f2f4 d7d6 : .......20 moves, avg. D01, 001 counts/move
f2f4 e7e5 : .......21 moves, avg. D01, 001 counts/move
f2f4 e7e6 : .......20 moves, avg. D01, 001 counts/move
f2f4 f7f5 : .......19 moves, avg. D01, 001 counts/move
f2f4 f7f6 : .......20 moves, avg. D01, 001 counts/move
f2f4 g7g5 : .......21 moves, avg. D01, 001 counts/move
f2f4 g7g6 : .......20 moves, avg. D01, 001 counts/move
f2f4 h7h5 : .......20 moves, avg. D01, 001 counts/move
f2f4 h7h6 : .......20 moves, avg. D01, 001 counts/move
g2g3 a7a5 : .......21 moves, avg. D01, 001 counts/move
g2g3 a7a6 : .......21 moves, avg. D01, 001 counts/move
g2g3 b7b5 : .......21 moves, avg. D01, 001 counts/move
g2g3 b7b6 : .......21 moves, avg. D01, 001 counts/move
g2g3 c7c5 : .......22 moves, avg. D02, 006 counts/move
g2g3 c7c6 : .......41 moves, avg. D08, 024 counts/move
g2g3 b8a6 : .......21 moves, avg. D01, 001 counts/move
g2g3 b8c6 : .......21 moves, avg. D01, 001 counts/move
g2g3 g8f6 : .......27 moves, avg. D06, 022 counts/move
g2g3 g8h6 : .......21 moves, avg. D01, 001 counts/move
g2g3 d7d5 : .......35 moves, avg. D07, 024 counts/move
g2g3 d7d6 : .......21 moves, avg. D01, 001 counts/move
g2g3 e7e5 : ......157 moves, avg. D37, 101 counts/move
g2g3 e7e6 : .......22 moves, avg. D03, 006 counts/move
g2g3 f7f5 : .......21 moves, avg. D01, 001 counts/move
g2g3 f7f6 : .......21 moves, avg. D01, 001 counts/move
g2g3 g7g5 : .......21 moves, avg. D01, 001 counts/move
g2g3 g7g6 : .......21 moves, avg. D01, 001 counts/move
g2g3 h7h5 : .......21 moves, avg. D01, 001 counts/move
g2g3 h7h6 : .......21 moves, avg. D01, 001 counts/move
g2g4 a7a5 : .......21 moves, avg. D01, 001 counts/move
g2g4 a7a6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b7b5 : .......21 moves, avg. D01, 001 counts/move
g2g4 b7b6 : .......21 moves, avg. D01, 001 counts/move
g2g4 c7c5 : .......21 moves, avg. D01, 001 counts/move
g2g4 c7c6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b8a6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b8c6 : .......21 moves, avg. D01, 001 counts/move
g2g4 g8f6 : .......22 moves, avg. D02, 006 counts/move
g2g4 g8h6 : .......21 moves, avg. D01, 001 counts/move
g2g4 d7d5 : ....8 562 moves, avg. D23, 080 counts/move
g2g4 d7d6 : .......21 moves, avg. D01, 001 counts/move
g2g4 e7e5 : .......21 moves, avg. D01, 001 counts/move
g2g4 e7e6 : .......21 moves, avg. D01, 001 counts/move
g2g4 f7f5 : .......22 moves, avg. D01, 001 counts/move
g2g4 f7f6 : .......21 moves, avg. D01, 001 counts/move
g2g4 g7g5 : .......20 moves, avg. D01, 001 counts/move
g2g4 g7g6 : .......21 moves, avg. D01, 001 counts/move
g2g4 h7h5 : .......22 moves, avg. D01, 001 counts/move
g2g4 h7h6 : .......21 moves, avg. D01, 001 counts/move
h2h3 a7a5 : .......19 moves, avg. D01, 001 counts/move
h2h3 a7a6 : .......19 moves, avg. D01, 001 counts/move
h2h3 b7b5 : .......19 moves, avg. D01, 001 counts/move
h2h3 b7b6 : .......19 moves, avg. D01, 001 counts/move
h2h3 c7c5 : .......19 moves, avg. D01, 001 counts/move
h2h3 c7c6 : .......19 moves, avg. D01, 001 counts/move
h2h3 b8a6 : .......19 moves, avg. D01, 001 counts/move
h2h3 b8c6 : .......19 moves, avg. D01, 001 counts/move
h2h3 g8f6 : ......133 moves, avg. D36, 085 counts/move
h2h3 g8h6 : .......19 moves, avg. D01, 001 counts/move
h2h3 d7d5 : ......352 moves, avg. D40, 094 counts/move
h2h3 d7d6 : .......19 moves, avg. D01, 001 counts/move
h2h3 e7e5 : ......236 moves, avg. D26, 069 counts/move
h2h3 e7e6 : .......19 moves, avg. D01, 001 counts/move
h2h3 f7f5 : .......19 moves, avg. D01, 001 counts/move
h2h3 f7f6 : .......19 moves, avg. D01, 001 counts/move
h2h3 g7g5 : .......19 moves, avg. D01, 001 counts/move
h2h3 g7g6 : .......19 moves, avg. D01, 001 counts/move
h2h3 h7h5 : .......19 moves, avg. D01, 001 counts/move
h2h3 h7h6 : .......19 moves, avg. D01, 001 counts/move
h2h4 a7a5 : .......21 moves, avg. D01, 001 counts/move
h2h4 a7a6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b7b5 : .......21 moves, avg. D01, 001 counts/move
h2h4 b7b6 : .......21 moves, avg. D01, 001 counts/move
h2h4 c7c5 : .......22 moves, avg. D03, 007 counts/move
h2h4 c7c6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b8a6 : .......21 moves, avg. D01, 001 counts/move
h2h4 b8c6 : .......21 moves, avg. D01, 001 counts/move
h2h4 g8f6 : .......21 moves, avg. D01, 001 counts/move
h2h4 g8h6 : .......21 moves, avg. D01, 001 counts/move
h2h4 d7d5 : .......40 moves, avg. D06, 019 counts/move
h2h4 d7d6 : .......21 moves, avg. D01, 001 counts/move
h2h4 e7e5 : .......39 moves, avg. D07, 011 counts/move
h2h4 e7e6 : .......21 moves, avg. D01, 001 counts/move
h2h4 f7f5 : .......21 moves, avg. D01, 001 counts/move
h2h4 f7f6 : .......21 moves, avg. D01, 001 counts/move
h2h4 g7g5 : .......22 moves, avg. D01, 001 counts/move
h2h4 g7g6 : .......21 moves, avg. D01, 001 counts/move
h2h4 h7h5 : .......20 moves, avg. D01, 001 counts/move
h2h4 h7h6 : .......21 moves, avg. D01, 001 counts/move

Experience Rate : 4%
