f2f3 e7e6 : .......19 moves, avg. D01, 001 counts/move
f2f3 f7f5 : .......19 moves, avg. D01, 001 counts/move
f2f3 f7f6 : .......19 moves, avg. D01, 001 counts/move
f2f3 g7g5 : .......19 moves, avg. D01, 001 counts/move
f2f3 g7g6 : .......19 moves, avg. D01, 001 counts/move
f2f3 h7h5 : .......19 moves, avg. D01, 001 counts/move
f2f3 h7h6 : .......19 moves, avg. D01, 001 counts/move
f2f4 a7a5 : .......20 moves, avg. D01, 001 counts/move
f2f4 a7a6 : .......20 moves, avg. D02, 002 counts/move
f2f4 b7b5 : .......20 moves, avg. D01, 001 counts/move
f2f4 b7b6 : .......20 moves, avg. D01, 001 counts/move
f2f4 c7c5 : ......479 moves, avg. D27, 013 counts/move
f2f4 c7c6 : .......89 moves, avg. D23, 017 counts/move
f2f4 b8a6 : .......20 moves, avg. D01, 001 counts/move
f2f4 b8c6 : .......20 moves, avg. D01, 001 counts/move
f2f4 g8f6 : .......33 moves, avg. D04, 003 counts/move
f2f4 g8h6 : .......66 moves, avg. D17, 013 counts/move
f2f4 d7d5 : ......432 moves, avg. D32, 011 counts/move
f2f4 d7d6 : .......20 moves, avg. D01, 001 counts/move
f2f4 e7e5 : ....4 534 moves, avg. D29, 013 counts/move
f2f4 e7e6 : ......191 moves, avg. D25, 019 counts/move
f2f4 f7f5 : .......19 moves, avg. D01, 001 counts/move
f2f4 f7f6 : .......20 moves, avg. D01, 001 counts/move
f2f4 g7g5 : .......21 moves, avg. D01, 001 counts/move
f2f4 g7g6 : .......85 moves, avg. D22, 020 counts/move
f2f4 h7h5 : .......20 moves, avg. D01, 001 counts/move
f2f4 h7h6 : .......20 moves, avg. D01, 001 counts/move
g2g3 a7a5 : .......21 moves, avg. D01, 001 counts/move
g2g3 a7a6 : ......125 moves, avg. D27, 039 counts/move
g2g3 b7b5 : .......21 moves, avg. D01, 001 counts/move
g2g3 b7b6 : ......205 moves, avg. D25, 014 counts/move
g2g3 c7c5 : ...23 963 moves, avg. D37, 028 counts/move
g2g3 c7c6 : .......22 moves, avg. D02, 003 counts/move
g2g3 b8a6 : .......21 moves, avg. D01, 001 counts/move
g2g3 b8c6 : ......203 moves, avg. D32, 007 counts/move
g2g3 g8f6 : 1 000 000 moves, avg. D33, 049 counts/move
g2g3 g8h6 : .......21 moves, avg. D01, 001 counts/move
g2g3 d7d5 : 1 000 000 moves, avg. D37, 102 counts/move
g2g3 d7d6 : ....5 161 moves, avg. D34, 023 counts/move
g2g3 e7e5 : ...14 695 moves, avg. D36, 029 counts/move
g2g3 e7e6 : 1 000 000 moves, avg. D33, 050 counts/move
g2g3 f7f5 : .......23 moves, avg. D04, 001 counts/move
g2g3 f7f6 : .......21 moves, avg. D01, 001 counts/move
g2g3 g7g5 : .......21 moves, avg. D01, 001 counts/move
g2g3 g7g6 : ....1 705 moves, avg. D35, 015 counts/move
g2g3 h7h5 : .......21 moves, avg. D01, 001 counts/move
g2g3 h7h6 : .......21 moves, avg. D01, 001 counts/move
g2g4 a7a5 : .......21 moves, avg. D01, 001 counts/move
g2g4 a7a6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b7b5 : .......21 moves, avg. D01, 001 counts/move
g2g4 b7b6 : .......21 moves, avg. D01, 001 counts/move
g2g4 c7c5 : .......21 moves, avg. D01, 001 counts/move
g2g4 c7c6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b8a6 : .......21 moves, avg. D01, 001 counts/move
g2g4 b8c6 : .......21 moves, avg. D01, 001 counts/move
g2g4 g8f6 : .......21 moves, avg. D01, 001 counts/move
g2g4 g8h6 : .......21 moves, avg. D01, 001 counts/move
g2g4 d7d5 : ....1 062 moves, avg. D33, 012 counts/move
g2g4 d7d6 : .......21 moves, avg. D01, 001 counts/move
g2g4 e7e5 : .......21 moves, avg. D01, 001 counts/move
g2g4 e7e6 : .......21 moves, avg. D01, 001 counts/move
g2g4 f7f5 : .......22 moves, avg. D01, 001 counts/move
g2g4 f7f6 : .......21 moves, avg. D01, 001 counts/move
g2g4 g7g5 : .......20 moves, avg. D01, 001 counts/move
g2g4 g7g6 : .......21 moves, avg. D01, 001 counts/move
g2g4 h7h5 : .......22 moves, avg. D01, 001 counts/move
g2g4 h7h6 : .......21 moves, avg. D01, 001 counts/move
h2h3 a7a5 : .......19 moves, avg. D01, 001 counts/move
h2h3 a7a6 : .......19 moves, avg. D01, 001 counts/move
h2h3 b7b5 : .......19 moves, avg. D01, 001 counts/move
h2h3 b7b6 : .......19 moves, avg. D01, 001 counts/move
h2h3 c7c5 : ......392 moves, avg. D26, 004 counts/move
h2h3 c7c6 : .......19 moves, avg. D01, 001 counts/move
h2h3 b8a6 : .......19 moves, avg. D01, 001 counts/move
h2h3 b8c6 : .......19 moves, avg. D01, 001 counts/move
h2h3 g8f6 : ......475 moves, avg. D28, 013 counts/move
h2h3 g8h6 : .......19 moves, avg. D01, 001 counts/move
h2h3 d7d5 : .......19 moves, avg. D01, 001 counts/move
h2h3 d7d6 : .......19 moves, avg. D01, 001 counts/move
h2h3 e7e5 : .......43 moves, avg. D10, 008 counts/move
h2h3 e7e6 : .......19 moves, avg. D01, 001 counts/move
h2h3 f7f5 : .......19 moves, avg. D01, 001 counts/move
h2h3 f7f6 : .......20 moves, avg. D03, 007 counts/move
h2h3 g7g5 : .......19 moves, avg. D01, 001 counts/move
h2h3 g7g6 : .......19 moves, avg. D01, 001 counts/move
h2h3 h7h5 : .......19 moves, avg. D01, 001 counts/move
h2h3 h7h6 : .......19 moves, avg. D01, 001 counts/move
h2h4 a7a5 : .......21 moves, avg. D01, 001 counts/move
